word,frequency,rank
the,6441,1
of,3483,2
and,3140,3
to,3139,4
a,2367,5
he,2357,6
that,2165,7
his,1999,8
in,1877,9
was,1645,10
you,1410,11
it,1356,12
i,1307,13
had,1048,14
him,980,15
with,916,16
blood,883,17
for,863,18
as,789,19
at,749,20
be,735,21
not,721,22
by,659,23
but,651,24
is,640,25
her,615,26
this,581,27
on,572,28
have,571,29
which,547,30
they,529,31
from,517,32
captain,447,33
were,441,34
so,431,35
there,420,36
your,407,37
she,406,38
said,405,39
all,393,40
who,384,41
my,372,42
me,367,43
what,364,44
them,351,45
upon,333,46
if,331,47
no,324,48
now,321,49
been,320,50
their,310,51
an,301,52
out,293,53
then,290,54
we,282,55
are,280,56
bishop,275,57
would,272,58
will,264,59
into,260,60
man,246,61
lord,240,62
should,239,63
do,236,64
himself,229,65
one,226,66
ye,217,67
ll,211,68
when,209,69
men,207,70
don,205,71
m,205,72
more,203,73
before,199,74
eyes,198,75
or,194,76
colonel,192,77
some,185,78
am,176,79
than,172,80
may,171,81
lordship,169,82
de,167,83
own,163,84
up,162,85
very,161,86
could,159,87
came,159,88
might,155,89
moment,154,90
those,153,91
face,151,92
again,151,93
did,148,94
must,148,95
peter,147,96
other,147,97
two,146,98
these,143,99
governor,135,100
come,134,101
under,134,102
ship,134,103
arabella,131,104
only,131,105
pitt,130,106
julian,128,107
after,128,108
little,126,109
went,125,110
king,124,111
mr,120,112
last,118,113
made,118,114
shall,117,115
time,116,116
here,115,117
know,115,118
us,115,119
has,114,120
yet,114,121
take,114,122
stood,112,123
levasseur,112,124
can,111,125
way,111,126
voice,111,127
great,109,128
back,106,129
spanish,103,130
looked,102,131
how,102,132
make,101,133
well,101,134
hand,100,135
miss,98,136
over,95,137
like,95,138
wolverstone,95,139
any,95,140
aboard,95,141
admiral,94,142
until,93,143
such,93,144
even,92,145
being,92,146
rivarol,91,147
see,91,148
down,90,149
still,88,150
why,88,151
away,88,152
about,88,153
ve,87,154
d,87,155
say,87,156
whom,86,157
spaniards,86,158
go,86,159
its,85,160
between,85,161
almost,84,162
done,83,163
head,83,164
ships,83,165
without,82,166
never,82,167
diego,81,168
where,81,169
good,80,170
off,79,171
our,79,172
think,78,173
long,78,174
took,77,175
three,77,176
first,77,177
day,76,178
matter,76,179
through,76,180
sir,76,181
sea,75,182
miguel,74,183
much,73,184
t,73,185
thought,73,186
re,73,187
half,73,188
nothing,73,189
turned,72,190
found,72,191
cahusac,72,192
once,72,193
too,70,194
french,70,195
against,70,196
tell,69,197
fleet,69,198
fort,69,199
buccaneers,69,200
left,68,201
night,68,202
royal,67,203
set,66,204
cried,65,205
put,64,206
side,64,207
whilst,63,208
honour,63,209
god,63,210
because,63,211
towards,62,212
since,62,213
life,62,214
answer,61,215
morning,61,216
end,60,217
ever,60,218
having,60,219
laughed,59,220
