word,frequency,rank
the,17028,1
and,14017,2
to,9515,3
of,9238,4
a,7360,5
in,6462,6
that,5243,7
his,5177,8
i,4864,9
her,4781,10
he,4597,11
it,4469,12
was,4122,13
you,3856,14
with,3676,15
as,3223,16
not,3046,17
she,2638,18
had,2612,19
said,2575,20
at,2445,21
for,2440,22
mr,2438,23
him,2400,24
on,2347,25
is,2212,26
but,2111,27
have,2018,28
be,1793,29
dombey,1772,30
my,1752,31
so,1627,32
by,1592,33
if,1459,34
this,1424,35
no,1404,36
there,1373,37
me,1352,38
mrs,1332,39
captain,1304,40
which,1284,41
all,1262,42
do,1254,43
when,1252,44
florence,1198,45
from,1195,46
would,1153,47
or,1124,48
upon,1104,49
what,1093,50
who,1086,51
were,1058,52
very,998,53
been,994,54
little,942,55
out,941,56
one,928,57
an,928,58
they,914,59
miss,903,60
up,889,61
could,838,62
more,809,63
your,798,64
old,776,65
them,721,66
now,715,67
are,706,68
know,689,69
into,670,70
am,661,71
down,647,72
like,646,73
will,646,74
time,640,75
some,632,76
face,626,77
toots,619,78
any,618,79
again,604,80
walter,601,81
sir,592,82
such,580,83
head,575,84
man,571,85
before,570,86
hand,566,87
own,561,88
has,560,89
much,559,90
carker,555,91
than,554,92
how,548,93
good,548,94
here,548,95
never,547,96
then,544,97
come,531,98
himself,519,99
about,516,100
paul,508,101
say,507,102
did,504,103
major,498,104
their,496,105
being,496,106
eyes,487,107
dear,486,108
should,473,109
returned,469,110
made,464,111
well,458,112
great,451,113
house,450,114
we,447,115
its,444,116
after,441,117
day,438,118
go,437,119
room,435,120
see,432,121
away,428,122
other,425,123
where,424,124
may,417,125
young,410,126
back,409,127
can,406,128
tox,399,129
too,399,130
looking,398,131
think,396,132
looked,396,133
edith,394,134
might,394,135
over,380,136
door,380,137
way,367,138
long,361,139
cuttle,361,140
woman,360,141
nothing,360,142
these,349,143
night,349,144
lady,343,145
child,340,146
only,333,147
without,329,148
through,328,149
quite,326,150
round,325,151
thought,322,152
went,313,153
ever,311,154
look,307,155
though,307,156
oh,303,157
take,300,158
off,299,159
susan,298,160
why,298,161
friend,297,162
make,294,163
came,293,164
place,291,165
first,291,166
heart,289,167
going,289,168
two,288,169
still,286,170
ll,278,171
chick,277,172
mother,276,173
home,274,174
even,274,175
pipchin,270,176
every,270,177
last,269,178
better,268,179
seemed,267,180
mind,264,181
must,264,182
always,262,183
yes,262,184
cried,261,185
same,260,186
yet,253,187
rob,252,188
took,247,189
life,247,190
sat,246,191
many,245,192
herself,244,193
once,242,194
moment,241,195
having,241,196
blimber,241,197
put,230,198
another,227,199
let,225,200
doctor,224,201
morning,224,202
uncle,223,203
gills,223,204
most,223,205
tell,221,206
gentleman,220,207
saw,220,208
hands,218,209
boy,217,210
between,217,211
while,217,212
towards,215,213
says,213,214
hope,212,215
shall,212,216
left,211,217
father,209,218
whom,208,219
word,206,220
brother,205,221
until,204,222
world,201,223
indeed,200,224
voice,200,225
poor,199,226
gone,198,227
name,196,228
done,194,229
words,193,230
perhaps,192,231
daughter,192,232
knew,191,233
sure,191,234
our,190,235
nipper,190,236
manner,190,237
something,189,238
m,187,239
turned,186,240
love,185,241
us,184,242
anything,182,243
among,182,244
asked,181,245
got,180,246
sol,178,247
myself,177,248
alone,176,249
light,175,250
those,174,251
bed,174,252
soon,174,253
seen,174,254
part,171,255
new,170,256
coming,169,257
found,169,258
skewton,169,259
felt,166,260
table,165,261
replied,164,262
son,163,263
within,163,264
