word,frequency,rank
the,13818,1
of,8088,2
and,6202,3
to,5558,4
a,3724,5
in,2847,6
his,2716,7
i,2165,8
he,1856,9
that,1850,10
with,1834,11
as,1744,12
which,1620,13
it,1556,14
was,1528,15
said,1451,16
for,1422,17
by,1391,18
not,1265,19
is,1225,20
be,1192,21
but,1152,22
my,1115,23
had,1077,24
this,1007,25
at,956,26
thou,953,27
on,910,28
from,908,29
have,904,30
their,858,31
who,820,32
him,797,33
were,783,34
will,736,35
or,734,36
me,686,37
they,668,38
so,657,39
her,647,40
you,628,41
if,594,42
thy,578,43
de,575,44
no,550,45
knight,549,46
an,540,47
our,511,48
upon,499,49
them,481,50
your,464,51
one,463,52
are,457,53
thee,454,54
we,451,55
when,435,56
more,425,57
than,411,58
been,409,59
all,407,60
such,402,61
would,362,62
what,359,63
she,348,64
these,343,65
well,340,66
cedric,339,67
there,335,68
may,326,69
good,309,70
own,307,71
rebecca,300,72
now,300,73
some,294,74
saxon,293,75
shall,290,76
those,284,77
himself,280,78
master,274,79
should,271,80
man,265,81
other,259,82
yet,257,83
do,252,84
answered,250,85
could,249,86
prince,248,87
whom,247,88
then,244,89
has,243,90
must,241,91
jew,239,92
into,224,93
even,222,94
us,217,95
front,215,96
men,213,97
up,213,98
can,211,99
bracy,210,100
might,210,101
john,205,102
bœuf,203,103
most,203,104
two,202,105
like,197,106
time,197,107
templar,196,108
am,193,109
same,193,110
castle,191,111
replied,191,112
out,189,113
father,187,114
before,182,115
let,181,116
gurth,181,117
hand,180,118
only,180,119
sir,179,120
whose,179,121
isaac,179,122
order,178,123
ivanhoe,178,124
art,175,125
bois,174,126
down,174,127
guilbert,174,128
how,171,129
wamba,170,130
any,169,131
without,169,132
much,169,133
athelstane,169,134
long,166,135
rowena,166,136
while,165,137
hath,163,138
made,162,139
holy,160,140
its,160,141
each,159,142
day,159,143
king,157,144
name,156,145
noble,155,146
here,152,147
prior,151,148
against,151,149
under,151,150
lady,150,151
where,147,152
after,147,153
over,146,154
head,146,155
richard,145,156
many,145,157
very,143,158
say,142,159
thus,141,160
being,140,161
take,140,162
place,138,163
black,137,164
know,137,165
hast,136,166
every,134,167
did,134,168
brother,132,169
think,132,170
better,132,171
part,131,172
lists,131,173
god,130,174
grand,129,175
arms,126,176
little,126,177
see,125,178
great,125,179
though,125,180
seemed,124,181
having,124,182
norman,122,183
old,121,184
too,120,185
horse,118,186
knights,116,187
found,116,188
give,116,189
make,115,190
thine,115,191
never,115,192
however,114,193
return,114,194
ye,114,195
both,113,196
since,113,197
tell,112,198
among,110,199
first,109,200
life,109,201
saint,109,202
through,108,203
again,108,204
within,107,205
daughter,107,206
come,105,207
friend,104,208
fair,104,209
eyes,104,210
around,102,211
left,101,212
about,101,213
friar,101,214
england,99,215
love,98,216
death,98,217
once,98,218
purpose,98,219
blood,97,220
go,97,221
nor,96,222
way,96,223
themselves,95,224
also,95,225
called,94,226
voice,94,227
present,94,228
ever,93,229
honour,93,230
hands,93,231
mine,92,232
side,91,233
still,91,234
high,91,235
brian,91,236
true,90,237
best,89,238
far,87,239
another,87,240
indeed,86,241
half,85,242
heard,85,243
means,83,244
off,83,245
therefore,83,246
myself,83,247
three,82,248
hermit,81,249
heart,81,250
rather,81,251
heaven,81,252
less,80,253
back,80,254
free,80,255
hold,80,256
already,79,257
find,79,258
placed,79,259
champion,79,260
fear,79,261
save,78,262
leave,78,263
right,78,264
night,78,265
sword,78,266
poor,78,267
apartment,77,268
wilt,77,269
strong,77,270
ere,77,271
few,77,272
battle,77,273
least,76,274
person,76,275
look,76,276
whole,75,277
jewess,75,278
english,74,279
malvoisin,74,280
either,74,281
son,73,282
trust,73,283
lance,73,284
armour,72,285
forth,72,286
st,71,287
enough,71,288
gave,71,289
nothing,71,290
added,70,291
wilfred,70,292
continued,70,293
fate,70,294
nay,70,295
wine,70,296
others,70,297
speak,69,298
locksley,69,299
exclaimed,69,300
presence,69,301
soon,68,302
language,68,303
neither,68,304
until,68,305
use,68,306
shalt,68,307
jester,68,308
seen,68,309
hall,67,310
york,67,311
chapter,67,312
ancient,67,313
priest,67,314
people,66,315
power,66,316
moment,66,317
christian,65,318
took,65,319
word,65,320
small,65,321
reverend,65,322
towards,65,323
stood,65,324
dost,64,325
race,64,326
disinherited,64,327
held,64,328
cannot,64,329
fitzurse,64,330
done,64,331
yeoman,64,332
character,63,333
gold,63,334
large,62,335
lay,62,336
beauty,62,337
forest,62,338
words,62,339
taken,61,340
house,61,341
general,61,342
pleasure,61,343
feet,61,344
ay,60,345
mind,60,346
round,60,347
land,60,348
received,59,349
light,59,350
hear,59,351
known,59,352
temple,58,353
brought,58,354
answer,58,355
d,58,356
attendants,58,357
full,58,358
set,58,359
fool,57,360
companion,57,361
ground,57,362
forward,57,363
ransom,57,364
cause,57,365
during,57,366
country,57,367
together,57,368
put,57,369
last,56,370
silver,55,371
length,55,372
tone,55,373
lord,55,374
maiden,55,375
door,55,376
short,54,377
hundred,54,378
keep,54,379
sort,54,380
strength,54,381
waldemar,54,382
end,54,383
evil,53,384
new,53,385
stand,53,386
saxons,53,387
form,53,388
call,53,389
times,52,390
walls,52,391
aid,52,392
away,52,393
courtesy,52,394
field,52,395
four,52,396
point,52,397
open,51,398
abbot,51,399
service,51,400
outlaw,51,401
body,51,402
appearance,50,403
pray,50,404
matter,50,405
bow,50,406
deep,50,407
necessary,49,408
thought,49,409
bear,49,410
state,49,411
prisoner,49,412
hope,48,413
war,48,414
cross,48,415
work,48,416
several,48,417
whether,48,418
brethren,48,419
mark,48,420
church,48,421
pay,47,422
fire,47,423
came,47,424
given,47,425
bring,47,426
canst,47,427
proud,47,428
behind,47,429
none,47,430
yeomen,47,431
second,46,432
thyself,46,433
led,46,434
although,46,435
above,46,436
followers,46,437
party,46,438
favour,46,439
grace,46,440
turned,46,441
why,45,442
palmer,45,443
just,45,444
turn,45,445
course,45,446
features,45,447
spoke,45,448
advantage,45,449
dress,45,450
besides,45,451
aymer,44,452
scarce,44,453
used,44,454
herself,44,455
shield,44,456
saying,44,457
perhaps,44,458
brave,43,459
lion,43,460
days,43,461
formed,43,462
beaumanoir,43,463
interest,43,464
preceptor,43,465
yonder,43,466
till,43,467
force,43,468
kind,43,469
between,43,470
rest,43,471
looked,43,472
rendered,43,473
returned,43,474
bold,42,475
dark,42,476
gallant,42,477
saw,42,478
passed,42,479
safety,42,480
instantly,42,481
betwixt,42,482
cast,42,483
valour,41,484
table,41,485
ready,41,486
worthy,41,487
manner,41,488
next,41,489
peace,41,490
near,41,491
broken,41,492
court,41,493
escape,41,494
wounded,41,495
followed,41,496
remained,41,497
friends,41,498
danger,41,499
author,41,500
horn,41,501
fight,41,502
die,41,503
alone,41,504
cup,41,505
countenance,40,506
according,40,507
pilgrim,40,508
care,40,509
follow,40,510
eye,40,511
coningsburgh,40,512
rank,40,513
somewhat,40,514
note,40,515
wild,39,516
reason,39,517
something,39,518
appeared,39,519
horses,39,520
spectators,39,521
dog,39,522
staff,39,523
certain,39,524
outlaws,39,525
knowest,39,526
rich,39,527
close,39,528
road,39,529
fathers,39,530
lost,39,531
period,39,532
tournament,39,533
wealth,39,534
share,39,535
soul,38,536
entered,38,537
woman,38,538
companions,38,539
spoken,38,540
captain,38,541
earl,38,542
devil,38,543
rude,38,544
wish,38,545
age,38,546
circumstances,38,547
chivalry,38,548
ashby,37,549
space,37,550
o,37,551
company,37,552
stranger,37,553
courage,37,554
blow,37,555
face,37,556
lower,37,557
raised,37,558
white,37,559
nevertheless,37,560
