word,frequency,rank
the,7381,1
of,4428,2
and,2963,3
a,2166,4
to,2159,5
i,2067,6
in,2045,7
that,1199,8
it,1151,9
was,1077,10
my,955,11
with,835,12
as,806,13
which,805,14
had,757,15
at,743,16
is,680,17
but,634,18
not,631,19
for,624,20
his,584,21
this,571,22
from,543,23
he,539,24
upon,513,25
by,488,26
have,465,27
me,460,28
be,425,29
or,414,30
all,390,31
no,385,32
its,385,33
we,375,34
an,370,35
so,368,36
were,367,37
been,352,38
there,345,39
more,322,40
one,293,41
into,264,42
him,252,43
than,247,44
on,228,45
are,227,46
very,227,47
you,227,48
now,225,49
could,222,50
what,222,51
some,217,52
their,193,53
her,191,54
these,190,55
would,185,56
they,183,57
when,182,58
said,181,59
then,172,60
if,159,61
most,156,62
will,155,63
about,152,64
who,150,65
even,149,66
any,144,67
our,142,68
only,137,69
up,136,70
yet,136,71
man,135,72
them,133,73
out,131,74
through,131,75
long,130,76
while,127,77
thus,126,78
before,122,79
such,120,80
made,118,81
has,117,82
own,116,83
myself,116,84
well,115,85
first,114,86
other,113,87
length,110,88
within,110,89
still,110,90
many,108,91
us,108,92
over,107,93
she,103,94
like,103,95
say,102,96
little,101,97
once,101,98
much,101,99
did,98,100
might,98,101
thought,94,102
found,94,103
night,94,104
however,94,105
whole,93,106
matter,92,107
although,91,108
great,89,109
here,88,110
how,88,111
down,88,112
seemed,86,113
far,86,114
every,86,115
came,86,116
may,86,117
after,85,118
death,85,119
two,84,120
time,84,121
day,84,122
having,84,123
never,82,124
again,81,125
being,81,126
eyes,79,127
must,79,128
those,78,129
without,78,130
too,75,131
should,72,132
do,72,133
indeed,71,134
hand,70,135
water,69,136
whose,68,137
lay,68,138
life,68,139
saw,67,140
am,66,141
few,66,142
fell,65,143
heart,65,144
less,64,145
mind,64,146
idea,63,147
can,63,148
character,62,149
where,62,150
nearly,61,151
see,61,152
light,60,153
old,60,154
felt,59,155
itself,59,156
just,58,157
make,58,158
things,58,159
took,57,160
nature,56,161
eye,56,162
until,56,163
nothing,56,164
house,55,165
thing,55,166
way,55,167
world,54,168
seen,54,169
spirit,54,170
words,54,171
knew,54,172
wall,54,173
manner,54,174
moment,54,175
among,53,176
full,53,177
feet,53,178
during,53,179
point,52,180
became,52,181
ever,52,182
same,52,183
course,52,184
perhaps,51,185
years,51,186
half,51,187
certain,51,188
god,51,189
left,50,190
grew,50,191
head,50,192
beyond,50,193
fact,50,194
doubt,50,195
condition,49,196
himself,49,197
between,49,198
person,49,199
black,48,200
another,48,201
form,48,202
let,47,203
sound,47,204
soul,46,205
each,46,206
altogether,46,207
mere,46,208
last,46,209
door,46,210
room,45,211
reason,45,212
large,45,213
good,45,214
three,45,215
voice,45,216
least,44,217
bed,44,218
part,44,219
shall,44,220
stood,44,221
nor,44,222
back,44,223
general,44,224
place,43,225
around,43,226
horror,43,227
air,43,228
trees,43,229
walls,43,230
body,43,231
scarcely,42,232
chamber,42,233
period,41,234
away,41,235
p,41,236
above,41,237
wild,41,238
hundred,41,239
right,40,240
sense,40,241
letter,40,242
king,40,243
deep,40,244
heard,40,245
means,40,246
open,40,247
floor,39,248
attention,39,249
also,39,250
extent,39,251
latter,39,252
ordinary,39,253
went,38,254
merely,38,255
think,38,256
small,38,257
earth,38,258
minutes,37,259
thousand,37,260
low,37,261
oh,37,262
under,37,263
rather,37,264
sleep,36,265
face,36,266
true,36,267
terror,36,268
account,36,269
v,36,270
vast,36,271
human,36,272
cannot,36,273
mr,36,274
beneath,36,275
called,36,276
looked,36,277
yes,35,278
suddenly,35,279
white,35,280
alone,35,281
object,35,282
passed,35,283
possible,35,284
end,34,285
appeared,34,286
put,34,287
off,34,288
valley,34,289
question,34,290
view,34,291
hour,34,292
truth,33,293
impossible,33,294
friend,33,295
river,33,296
natural,33,297
singular,33,298
known,33,299
beauty,33,300
second,33,301
know,32,302
dupin,32,303
turned,32,304
hours,32,305
men,32,306
vain,32,307
entered,32,308
against,32,309
feel,32,310
arose,32,311
spoke,31,312
either,31,313
find,31,314
memory,31,315
name,31,316
portion,31,317
motion,31,318
case,31,319
d,31,320
given,30,321
your,30,322
since,30,323
themselves,30,324
surface,30,325
take,30,326
days,30,327
red,30,328
already,30,329
always,30,330
near,30,331
difficulty,30,332
immediately,30,333
because,30,334
why,29,335
looking,29,336
gave,29,337
tell,29,338
sea,29,339
kind,29,340
lips,29,341
prefect,29,342
hung,29,343
continued,29,344
appearance,29,345
dark,29,346
silence,29,347
scene,29,348
fancy,29,349
similar,29,350
longer,29,351
apartment,28,352
instant,28,353
come,28,354
present,28,355
regard,28,356
heaven,28,357
usual,28,358
valdemar,28,359
several,28,360
dead,28,361
art,28,362
observed,28,363
remained,28,364
green,27,365
figure,27,366
word,27,367
sun,27,368
quite,27,369
m,27,370
hope,27,371
blood,27,372
effect,27,373
soon,27,374
arm,27,375
direction,27,376
distance,27,377
minute,26,378
position,26,379
sat,26,380
single,26,381
close,26,382
set,26,383
four,25,384
search,25,385
better,25,386
slight,25,387
rock,25,388
power,25,389
shadow,25,390
together,25,391
strange,25,392
done,25,393
interest,25,394
existence,25,395
bosom,25,396
something,25,397
presence,25,398
whom,25,399
morning,25,400
discovered,25,401
beautiful,24,402
principle,24,403
lost,24,404
perceive,24,405
countenance,24,406
entirely,24,407
wilson,24,408
sentiment,24,409
taken,24,410
brief,24,411
therefore,24,412
family,24,413
feeling,24,414
effort,23,415
hideous,23,416
best,23,417
descent,23,418
influence,23,419
round,23,420
fully,23,421
home,23,422
usher,23,423
state,23,424
degree,23,425
love,23,426
dream,23,427
bottom,23,428
both,23,429
distinct,23,430
thrown,23,431
discovery,23,432
formed,23,433
attempt,23,434
building,22,435
subject,22,436
next,22,437
high,22,438
design,22,439
desire,22,440
replied,22,441
objects,22,442
simple,22,443
remember,22,444
speak,22,445
clock,22,446
terrible,22,447
action,22,448
ghastly,22,449
call,22,450
iron,22,451
amid,22,452
ha,22,453
proceeded,22,454
peculiar,21,455
utterly,21,456
sufficient,21,457
result,21,458
none,21,459
excited,21,460
stone,21,461
finally,21,462
nevertheless,21,463
purpose,21,464
aware,21,465
flowers,21,466
thoughts,21,467
wide,21,468
miles,21,469
brought,21,470
give,21,471
threw,21,472
darkness,21,473
common,20,474
held,20,475
scheherazade,20,476
gold,20,477
patient,20,478
island,20,479
throughout,20,480
intense,20,481
number,20,482
grass,20,483
substance,20,484
fire,20,485
arrested,20,486
reach,20,487
ellison,20,488
go,20,489
term,20,490
minister,20,491
short,20,492
understand,20,493
gentle,20,494
neither,20,495
work,20,496
forth,20,497
unusual,20,498
imagination,20,499
pain,20,500
atmosphere,20,501
third,20,502
six,20,503
especially,20,504
look,20,505
get,19,506
force,19,507
moskoe,19,508
late,19,509
ultimate,19,510
thoroughly,19,511
lady,19,512
self,19,513
times,19,514
brain,19,515
grave,19,516
extreme,19,517
example,19,518
ten,19,519
seven,19,520
twenty,19,521
noise,19,522
cause,19,523
tree,19,524
change,19,525
evil,19,526
believe,19,527
expression,19,528
somewhat,19,529
table,19,530
new,19,531
physical,18,532
led,18,533
side,18,534
gloom,18,535
species,18,536
placed,18,537
mad,18,538
color,18,539
silver,18,540
often,18,541
absolute,18,542
fail,18,543
slowly,18,544
months,18,545
stream,18,546
supposed,18,547
beast,18,548
points,18,549
remote,18,550
profound,18,551
gray,18,552
foot,18,553
region,18,554
frame,18,555
tall,18,556
immediate,18,557
entire,18,558
alas,18,559
five,18,560
possession,18,561
circumstances,18,562
perfect,18,563
breath,18,564
gazed,18,565
gradually,17,566
buried,17,567
mesmeric,17,568
unto,17,569
fro,17,570
ether,17,571
secret,17,572
narrow,17,573
spoken,17,574
moon,17,575
escape,17,576
greater,17,577
fallen,17,578
company,17,579
farther,17,580
sole,17,581
middle,17,582
fearful,17,583
story,17,584
step,17,585
except,17,586
fine,17,587
clear,17,588
movement,17,589
below,17,590
prison,17,591
individual,17,592
lies,17,593
kempelen,17,594
remarkable,17,595
windows,17,596
absolutely,17,597
whether,17,598
von,17,599
disease,17,600
help,17,601
amontillado,17,602
apparently,17,603
despair,17,604
wind,17,605
along,17,606
yards,17,607
rapidly,17,608
vivid,16,609
wish,16,610
waters,16,611
school,16,612
shriek,16,613
rendered,16,614
rudimental,16,615
evening,16,616
lamp,16,617
arms,16,618
cat,16,619
blue,16,620
dreams,16,621
mental,16,622
save,16,623
sides,16,624
fall,16,625
senses,16,626
wife,16,627
ceased,16,628
hair,16,629
original,16,630
hands,16,631
ström,16,632
actually,16,633
moments,16,634
material,16,635
louder,16,636
sweet,16,637
fifty,16,638
closed,16,639
occasioned,16,640
de,16,641
heavy,16,642
sure,16,643
gone,16,644
readily,16,645
mean,16,646
height,16,647
roof,16,648
l,16,649
west,16,650
land,16,651
evident,16,652
moral,16,653
different,16,654
features,16,655
seem,16,656
increased,16,657
landscape,16,658
feeble,16,659
lower,16,660
care,16,661
odd,15,662
palace,15,663
book,15,664
easily,15,665
admitted,15,666
describe,15,667
steps,15,668
huge,15,669
measure,15,670
struggled,15,671
really,15,672
read,15,673
wonder,15,674
corpse,15,675
become,15,676
occurred,15,677
window,15,678
berenice,15,679
ugh,15,680
boat,15,681
ears,15,682
pale,15,683
ground,15,684
told,15,685
ill,15,686
opening,15,687
enough,15,688
thinking,15,689
filled,15,690
early,15,691
wine,15,692
arrived,15,693
necessary,15,694
personal,15,695
agony,15,696
usually,15,697
recesses,15,698
perceived,15,699
succeeded,15,700
forgotten,15,701
knowledge,15,702
forms,15,703
broken,15,704
unparticled,15,705
forever,15,706
distinctly,15,707
need,15,708
frequent,15,709
frequently,15,710
necessity,15,711
