word,frequency,rank
the,4338,1
to,4162,2
of,3631,3
and,3586,4
her,2230,5
i,2075,6
a,1943,7
in,1882,8
was,1847,9
she,1709,10
that,1590,11
it,1534,12
not,1435,13
you,1360,14
he,1337,15
his,1271,16
be,1237,17
as,1188,18
had,1175,19
for,1064,20
with,1052,21
but,1004,22
is,857,23
have,846,24
at,782,25
mr,782,26
him,765,27
my,722,28
on,721,29
by,636,30
elizabeth,634,31
all,628,32
they,601,33
so,593,34
were,566,35
which,543,36
could,523,37
been,515,38
from,495,39
no,492,40
very,487,41
what,482,42
would,470,43
your,466,44
me,450,45
this,449,46
their,442,47
them,435,48
will,418,49
darcy,418,50
said,402,51
such,389,52
any,388,53
when,371,54
an,369,55
there,354,56
if,350,57
do,349,58
mrs,342,59
are,341,60
much,328,61
am,326,62
bennet,324,63
more,321,64
must,308,65
bingley,307,66
one,301,67
or,297,68
jane,292,69
every,285,70
who,284,71
miss,283,72
than,282,73
did,272,74
we,254,75
should,252,76
know,237,77
how,232,78
before,228,79
herself,227,80
well,226,81
though,226,82
has,224,83
never,221,84
sister,218,85
soon,218,86
only,216,87
can,213,88
think,211,89
now,211,90
other,211,91
some,209,92
time,204,93
good,203,94
might,200,95
after,200,96
may,194,97
wickham,194,98
lady,190,99
little,189,100
own,188,101
most,185,102
collins,179,103
again,177,104
nothing,177,105
being,176,106
then,175,107
lydia,171,108
without,170,109
make,167,110
shall,163,111
thing,162,112
say,160,113
dear,158,114
family,152,115
man,150,116
room,150,117
see,147,118
first,146,119
day,145,120
into,143,121
great,142,122
too,142,123
mother,137,124
two,135,125
father,135,126
ever,135,127
however,134,128
out,134,129
young,129,130
made,127,131
himself,127,132
catherine,126,133
us,124,134
about,123,135
give,123,136
up,122,137
hope,121,138
many,120,139
always,120,140
last,119,141
away,117,142
letter,116,143
long,116,144
friend,112,145
cannot,112,146
thought,111,147
house,108,148
way,108,149
enough,107,150
its,104,151
go,104,152
replied,103,153
sure,103,154
saw,102,155
felt,101,156
manner,97,157
gardiner,97,158
wish,97,159
lizzy,97,160
indeed,96,161
myself,96,162
oh,95,163
till,95,164
quite,95,165
having,94,166
come,94,167
where,93,168
pleasure,93,169
done,92,170
over,92,171
love,92,172
better,92,173
cried,91,174
came,90,175
often,89,176
really,89,177
believe,88,178
feelings,88,179
longbourn,88,180
heard,86,181
charlotte,86,182
like,85,183
does,85,184
subject,85,185
aunt,84,186
whom,84,187
daughter,84,188
happy,83,189
even,82,190
take,80,191
morning,79,192
down,79,193
whole,79,194
sir,79,195
brother,79,196
less,78,197
while,77,198
perhaps,77,199
seen,76,200
sisters,76,201
ill,76,202
yes,76,203
place,76,204
therefore,75,205
let,75,206
our,74,207
looked,74,208
still,74,209
nor,74,210
evening,74,211
ladies,74,212
yet,73,213
netherfield,73,214
something,73,215
just,72,216
happiness,72,217
next,72,218
certainly,72,219
here,71,220
few,71,221
added,71,222
lucas,71,223
kitty,71,224
told,70,225
these,70,226
moment,70,227
half,70,228
both,70,229
upon,70,230
tell,70,231
hear,70,232
towards,69,233
uncle,69,234
present,68,235
attention,68,236
same,68,237
went,67,238
opinion,67,239
home,67,240
town,66,241
seemed,66,242
marriage,66,243
world,66,244
found,66,245
speak,66,246
left,65,247
together,65,248
colonel,65,249
answer,65,250
least,64,251
each,64,252
character,64,253
three,63,254
acquaintance,63,255
woman,63,256
between,63,257
kind,63,258
leave,62,259
either,62,260
because,62,261
gone,62,262
immediately,61,263
chapter,61,264
received,61,265
conversation,61,266
passed,61,267
off,61,268
coming,60,269
part,60,270
married,60,271
seeing,59,272
almost,59,273
since,59,274
knew,59,275
began,59,276
far,59,277
whose,59,278
find,59,279
once,58,280
affection,58,281
those,58,282
another,57,283
possible,57,284
meryton,57,285
london,57,286
known,57,287
party,57,288
mind,57,289
life,57,290
means,57,291
going,57,292
look,56,293
friends,55,294
rather,55,295
certain,55,296
body,55,297
behaviour,55,298
given,55,299
side,54,300
why,54,301
others,54,302
whether,54,303
able,54,304
gave,54,305
pemberley,53,306
took,53,307
continued,52,308
pride,52,309
get,52,310
against,52,311
reason,51,312
person,51,313
walk,51,314
