word,frequency,rank
the,12281,1
and,8430,2
of,7081,3
a,5086,4
to,4412,5
in,3658,6
it,2796,7
that,2522,8
was,2035,9
i,2031,10
we,1962,11
is,1849,12
with,1582,13
they,1574,14
he,1416,15
not,1352,16
but,1205,17
for,1183,18
as,1149,19
at,1079,20
his,1033,21
were,1028,22
on,1026,23
have,941,24
all,938,25
are,920,26
one,908,27
had,906,28
this,877,29
from,872,30
by,810,31
so,728,32
them,728,33
be,724,34
their,720,35
there,708,36
or,689,37
no,672,38
when,614,39
which,576,40
an,575,41
him,575,42
out,557,43
up,542,44
about,528,45
you,497,46
its,488,47
would,486,48
us,462,49
any,450,50
upon,449,51
these,447,52
could,443,53
our,442,54
do,414,55
like,400,56
then,397,57
if,395,58
said,378,59
who,378,60
every,374,61
my,372,62
will,371,63
where,366,64
been,357,65
time,353,66
her,352,67
old,350,68
down,348,69
can,347,70
some,345,71
here,339,72
has,334,73
other,333,74
two,330,75
into,324,76
more,321,77
very,319,78
me,318,79
what,315,80
did,308,81
than,306,82
over,305,83
hundred,305,84
great,304,85
such,304,86
long,302,87
see,295,88
only,294,89
man,283,90
now,280,91
through,280,92
never,278,93
day,277,94
little,264,95
before,263,96
go,255,97
she,248,98
many,245,99
people,242,100
good,241,101
thing,239,102
away,237,103
city,229,104
made,228,105
years,228,106
well,226,107
three,223,108
after,221,109
came,218,110
how,212,111
place,207,112
because,204,113
feet,202,114
those,198,115
think,197,116
men,195,117
again,193,118
know,192,119
say,192,120
went,190,121
sea,178,122
even,178,123
way,177,124
thousand,176,125
yet,174,126
much,172,127
nothing,171,128
first,169,129
under,168,130
saw,167,131
always,165,132
most,163,133
just,161,134
last,160,135
high,158,136
world,157,137
once,154,138
make,152,139
still,152,140
land,152,141
another,151,142
night,149,143
got,146,144
too,146,145
get,146,146
back,145,147
ever,145,148
without,144,149
ship,144,150
enough,143,151
st,143,152
far,142,153
look,142,154
beautiful,141,155
things,141,156
same,140,157
seen,140,158
stone,139,159
water,138,160
church,138,161
five,137,162
four,136,163
half,136,164
must,134,165
new,132,166
take,130,167
whose,130,168
your,128,169
ancient,128,170
among,128,171
days,126,172
off,126,173
left,125,174
found,123,175
dead,121,176
stood,121,177
life,121,178
took,120,179
looked,118,180
also,118,181
shall,118,182
ago,118,183
miles,115,184
come,114,185
am,113,186
might,113,187
while,113,188
eyes,112,189
holy,112,190
around,111,191
home,111,192
each,110,193
above,109,194
grand,103,195
let,103,196
side,101,197
head,100,198
along,100,199
hand,99,200
may,99,201
picture,97,202
own,97,203
full,97,204
walls,96,205
twenty,95,206
put,95,207
six,94,208
country,94,209
white,93,210
should,93,211
young,91,212
till,91,213
find,90,214
being,90,215
thought,90,216
looking,89,217
small,88,218
house,88,219
streets,88,220
ten,88,221
seemed,86,222
almost,85,223
knew,84,224
tell,83,225
marble,83,226
end,82,227
pilgrims,82,228
himself,82,229
ground,82,230
times,81,231
though,81,232
street,80,233
large,80,234
earth,80,235
hill,80,236
within,79,237
body,79,238
face,79,239
few,79,240
hour,79,241
used,78,242
interest,78,243
sun,78,244
going,78,245
part,78,246
themselves,77,247
chapter,77,248
read,77,249
gone,77,250
jerusalem,76,251
passed,76,252
brought,76,253
human,76,254
guide,75,255
party,75,256
keep,75,257
against,75,258
near,75,259
t,75,260
however,75,261
called,75,262
whole,74,263
name,73,264
morning,73,265
built,73,266
hours,73,267
work,73,268
seven,73,269
others,73,270
done,72,271
set,72,272
fell,72,273
houses,72,274
right,71,275
king,71,276
eight,71,277
wide,71,278
something,70,279
course,70,280
pictures,69,281
room,69,282
damascus,69,283
does,69,284
town,68,285
give,68,286
stand,68,287
call,68,288
hands,67,289
paris,66,290
pleasant,66,291
america,65,292
centuries,65,293
