word,frequency,rank
blood,883,1
captain,447,2
she,406,3
said,405,4
all,393,5
upon,333,6
no,324,7
now,321,8
bishop,275,9
will,264,10
man,246,11
lord,240,12
should,239,13
himself,229,14
one,226,15
ye,217,16
ll,211,17
men,207,18
don,205,19
m,205,20
more,203,21
eyes,198,22
colonel,192,23
some,185,24
than,172,25
may,171,26
lordship,169,27
de,167,28
own,163,29
very,161,30
came,159,31
might,155,32
moment,154,33
face,151,34
must,148,35
peter,147,36
other,147,37
two,146,38
governor,135,39
come,134,40
ship,134,41
only,131,42
arabella,131,43
pitt,130,44
julian,128,45
little,126,46
went,125,47
king,124,48
mr,120,49
last,118,50
made,118,51
shall,117,52
time,116,53
us,115,54
know,115,55
take,114,56
yet,114,57
stood,112,58
levasseur,112,59
way,111,60
voice,111,61
great,109,62
back,106,63
spanish,103,64
looked,102,65
well,101,66
make,101,67
hand,100,68
miss,98,69
any,95,70
wolverstone,95,71
aboard,95,72
like,95,73
admiral,94,74
even,92,75
rivarol,91,76
see,91,77
away,88,78
still,88,79
d,87,80
say,87,81
ve,87,82
spaniards,86,83
go,86,84
almost,84,85
ships,83,86
done,83,87
head,83,88
without,82,89
never,82,90
diego,81,91
good,80,92
think,78,93
long,78,94
first,77,95
three,77,96
took,77,97
matter,76,98
day,76,99
sir,76,100
sea,75,101
miguel,74,102
re,73,103
thought,73,104
nothing,73,105
t,73,106
much,73,107
half,73,108
found,72,109
cahusac,72,110
turned,72,111
french,70,112
too,70,113
buccaneers,69,114
fort,69,115
tell,69,116
fleet,69,117
left,68,118
night,68,119
royal,67,120
set,66,121
cried,65,122
put,64,123
side,64,124
god,63,125
whilst,63,126
honour,63,127
since,62,128
towards,62,129
life,62,130
morning,61,131
answer,61,132
ever,60,133
end,60,134
course,59,135
tortuga,59,136
mind,59,137
service,59,138
another,59,139
laughed,59,140
things,59,141
held,58,142
less,58,143
hands,57,144
just,57,145
fellow,57,146
forward,57,147
guns,56,148
also,56,149
taken,56,150
case,55,151
thing,55,152
asked,54,153
baron,54,154
brought,54,155
find,53,156
lips,53,157
answered,52,158
pirate,52,159
perhaps,52,160
least,52,161
already,52,162
boat,52,163
deck,52,164
officers,51,165
whose,51,166
port,51,167
let,51,168
knew,50,169
same,50,170
sure,50,171
cussy,50,172
jamaica,50,173
others,49,174
cabin,49,175
devil,49,176
black,49,177
doubt,49,178
words,49,179
water,49,180
hagthorpe,48,181
oh,48,182
deputy,48,183
followed,48,184
name,48,185
young,47,186
better,47,187
behind,47,188
open,47,189
though,47,190
james,46,191
english,46,192
hope,46,193
spaniard,46,194
spain,46,195
war,46,196
place,46,197
indeed,45,198
hundred,45,199
understand,45,200
gentleman,45,201
world,45,202
something,45,203
england,45,204
france,45,205
word,45,206
sat,45,207
give,45,208
blue,44,209
possible,44,210
added,44,211
coming,44,212
stared,43,213
uncle,43,214
twenty,43,215
white,43,216
round,43,217
enough,43,218
most,43,219
seemed,43,220
right,42,221
ogeron,42,222
across,42,223
part,42,224
saw,42,225
lady,42,226
house,41,227
each,41,228
buccaneer,41,229
heard,41,230
spoke,41,231
brother,41,232
every,41,233
doctor,40,234
four,40,235
thus,40,236
ashore,40,237
swung,40,238
told,39,239
smile,39,240
among,39,241
within,39,242
prisoners,39,243
barbados,39,244
none,39,245
articles,38,246
account,38,247
leave,38,248
save,37,249
beyond,37,250
ogle,37,251
s,37,252
thousand,37,253
entirely,37,254
days,37,255
jeremy,37,256
moved,36,257
question,36,258
commission,36,259
quite,36,260
crew,36,261
certain,36,262
eight,36,263
land,36,264
fact,36,265
present,36,266
work,36,267
meanwhile,35,268
remained,35,269
gave,35,270
quarter,35,271
silence,34,272
need,34,273
sail,34,274
considered,34,275
master,34,276
reached,34,277
presently,34,278
going,34,279
suddenly,34,280
far,34,281
girl,34,282
nuttall,34,283
city,34,284
waist,34,285
harbour,33,286
hear,33,287
clear,33,288
general,33,289
gone,33,290
position,33,291
passed,32,292
manner,32,293
table,32,294
best,32,295
pieces,32,296
seen,32,297
light,32,298
main,32,299
years,32,300
fight,32,301
fool,32,302
surprise,31,303
glance,31,304
new,31,305
standing,31,306
mean,31,307
chapter,31,308
faith,31,309
orders,31,310
father,30,311
maracaybo,30,312
given,30,313
le,30,314
hold,30,315
please,30,316
carried,30,317
whether,30,318
fire,30,319
broke,30,320
view,30,321
sight,30,322
lost,30,323
order,30,324
business,30,325
rebels,30,326
deal,30,327
taking,29,328
follow,29,329
considering,29,330
however,29,331
following,29,332
hour,29,333
boats,29,334
waiting,29,335
else,29,336
cartagena,29,337
necessary,29,338
door,29,339
fell,29,340
air,29,341
slaves,29,342
espinosa,28,343
flung,28,344
kept,28,345
hard,28,346
wild,28,347
pale,28,348
fine,28,349
old,28,350
state,28,351
shot,28,352
true,28,353
death,28,354
feet,28,355
look,27,356
prisoner,27,357
leaving,27,358
lay,27,359
island,27,360
chance,27,361
slave,27,362
llagas,27,363
knowledge,27,364
town,27,365
nature,27,366
observed,27,367
cinco,27,368
ah,27,369
alone,27,370
together,27,371
ransom,27,372
many,27,373
fear,27,374
arm,27,375
dutch,27,376
six,27,377
vessel,26,378
reason,26,379
mademoiselle,26,380
ten,26,381
countenance,26,382
fury,26,383
heat,26,384
second,26,385
note,26,386
commanded,26,387
passage,26,388
close,26,389
judge,26,390
trouble,26,391
treasure,26,392
offer,26,393
sailed,26,394
mouth,26,395
point,26,396
action,26,397
grew,26,398
safe,26,399
consider,26,400
anything,26,401
anchor,26,402
colour,25,403
full,25,404
willoughby,25,405
stepped,25,406
soul,25,407
believe,25,408
officer,25,409
sudden,25,410
force,25,411
gun,25,412
sent,25,413
later,25,414
although,25,415
heavy,25,416
red,25,417
both,25,418
easy,25,419
satisfaction,25,420
laugh,25,421
terms,25,422
bowed,25,423
soon,24,424
slowly,24,425
poop,24,426
esteban,24,427
led,24,428
companion,24,429
command,24,430
la,24,431
caught,24,432
wait,24,433
announced,24,434
kind,24,435
desired,24,436
damned,24,437
smiled,24,438
realize,24,439
convict,23,440
cause,23,441
stockade,23,442
continued,23,443
making,23,444
anger,23,445
sought,23,446
late,23,447
truth,23,448
short,23,449
monmouth,23,450
happened,23,451
sun,23,452
tone,23,453
share,23,454
danger,23,455
raised,23,456
bridgewater,23,457
desperate,23,458
major,23,459
hispaniola,23,460
friends,23,461
thief,23,462
remember,23,463
ago,23,464
arms,23,465
mary,23,466
heaven,23,467
battle,22,468
high,22,469
tall,22,470
ahead,22,471
majesty,22,472
free,22,473
west,22,474
cane,22,475
informed,22,476
news,22,477
whole,22,478
known,22,479
ill,22,480
excellency,22,481
aye,22,482
line,22,483
negroes,22,484
dozen,22,485
paused,22,486
rose,22,487
mallard,22,488
hat,22,489
unfortunate,22,490
became,22,491
mile,22,492
rest,22,493
accept,22,494
bring,22,495
five,22,496
began,22,497
beginning,22,498
swept,22,499
ask,22,500
wonder,22,501
receive,21,502
home,21,503
demanded,21,504
send,21,505
served,21,506
delivered,21,507
frenchman,21,508
calm,21,509
got,21,510
escape,21,511
return,21,512
monsieur,21,513
guilty,21,514
thrust,21,515
tale,21,516
north,21,517
score,21,518
impossible,21,519
gold,21,520
months,21,521
coast,21,522
thereafter,21,523
beside,21,524
departure,21,525
scarlet,20,526
self,20,527
opinion,20,528
body,20,529
friend,20,530
strength,20,531
next,20,532
heart,20,533
bay,20,534
ladder,20,535
hell,20,536
