word,frequency,rank
said,1232,1
mr,1071,2
oliver,851,3
all,611,4
she,593,5
no,587,6
very,489,7
upon,477,8
replied,464,9
one,460,10
old,444,11
man,397,12
bumble,395,13
some,390,14
more,354,15
sikes,352,16
will,351,17
gentleman,333,18
time,329,19
jew,321,20
boy,313,21
fagin,306,22
know,297,23
young,288,24
now,280,25
dear,277,26
little,276,27
himself,270,28
mrs,265,29
come,254,30
back,247,31
good,245,32
great,245,33
well,245,34
than,241,35
door,238,36
other,238,37
girl,234,38
any,232,39
head,226,40
lady,225,41
night,220,42
two,215,43
way,213,44
see,213,45
sir,210,46
hand,205,47
eyes,204,48
ll,203,49
too,203,50
rose,203,51
much,202,52
should,199,53
room,195,54
say,195,55
only,193,56
never,193,57
away,189,58
made,187,59
cried,182,60
face,175,61
brownlow,171,62
like,170,63
first,167,64
think,165,65
long,165,66
might,164,67
house,164,68
look,161,69
looked,160,70
without,155,71
round,153,72
same,151,73
take,147,74
looking,143,75
day,140,76
many,137,77
oh,136,78
monks,136,79
own,136,80
go,134,81
noah,134,82
came,133,83
woman,132,84
let,132,85
must,129,86
left,128,87
may,126,88
make,126,89
got,126,90
doctor,125,91
every,125,92
hands,124,93
place,124,94
another,123,95
tell,123,96
mind,122,97
us,121,98
even,121,99
turned,121,100
dodger,119,101
most,119,102
child,119,103
nothing,119,104
giles,119,105
shall,118,106
yes,116,107
better,116,108
master,115,109
nancy,115,110
took,112,111
voice,112,112
few,112,113
done,112,114
life,112,115
half,111,116
inquired,111,117
men,111,118
hear,110,119
asked,109,120
put,108,121
words,107,122
thought,106,123
enough,105,124
seemed,105,125
bill,105,126
rejoined,104,127
table,104,128
get,103,129
last,102,130
three,101,131
heard,100,132
something,100,133
right,99,134
returned,99,135
maylie,98,136
poor,98,137
people,97,138
morning,97,139
still,96,140
sat,96,141
re,95,142
went,94,143
indeed,94,144
quite,94,145
towards,94,146
bates,94,147
heart,93,148
friend,93,149
light,93,150
beadle,92,151
chair,91,152
ha,89,153
moment,88,154
word,87,155
street,86,156
ever,86,157
sowerberry,86,158
side,86,159
just,86,160
em,84,161
charley,83,162
give,83,163
home,82,164
small,82,165
yer,82,166
rather,81,167
going,81,168
name,80,169
saw,79,170
dark,79,171
ma,79,172
brought,79,173
ve,77,174
d,77,175
fire,77,176
new,77,177
though,77,178
anything,75,179
short,75,180
dog,75,181
keep,74,182
walked,73,183
passed,73,184
turning,73,185
mother,73,186
manner,73,187
gone,73,188
air,72,189
taken,72,190
mean,72,191
want,72,192
behind,70,193
speak,70,194
open,69,195
whether,69,196
window,68,197
cold,68,198
hat,68,199
length,68,200
almost,68,201
boys,67,202
till,67,203
hope,67,204
close,67,205
white,66,206
seen,66,207
grimwig,65,208
water,65,209
dead,65,210
large,65,211
together,65,212
corney,65,213
course,64,214
full,64,215
knew,64,216
matter,63,217
lay,63,218
pocket,63,219
told,63,220
low,63,221
fell,63,222
toby,62,223
m,61,224
yet,61,225
chapter,61,226
stood,61,227
death,61,228
matron,61,229
soon,60,230
next,60,231
eye,59,232
drew,59,233
far,59,234
thing,59,235
mann,59,236
alone,59,237
began,59,238
hard,59,239
ground,58,240
harry,58,241
bed,58,242
person,57,243
felt,57,244
followed,57,245
taking,57,246
exclaimed,57,247
spoke,57,248
part,57,249
twist,57,250
among,57,251
perhaps,57,252
silence,57,253
tears,56,254
always,56,255
help,55,256
stop,55,257
gave,55,258
brittles,55,259
strong,54,260
appeared,54,261
corner,54,262
sure,54,263
best,54,264
stopped,53,265
fear,53,266
instant,53,267
women,53,268
both,53,269
nobody,52,270
although,52,271
found,52,272
claypole,52,273
each,51,274
hour,51,275
arm,51,276
reply,51,277
along,51,278
charlotte,51,279
care,51,280
kind,50,281
undertaker,50,282
end,50,283
streets,50,284
london,50,285
within,50,286
years,49,287
making,49,288
whose,49,289
work,49,290
ah,49,291
near,49,292
times,48,293
happy,48,294
minutes,48,295
heavy,48,296
business,48,297
feet,48,298
deep,48,299
coat,47,300
five,47,301
ill,47,302
