word,frequency,rank
she,1329,1
all,641,2
one,497,3
now,475,4
us,451,5
no,403,6
raymond,370,7
will,368,8
life,335,9
more,323,10
adrian,317,11
heart,299,12
yet,283,13
even,282,14
should,278,15
love,272,16
time,258,17
man,251,18
every,239,19
only,239,20
than,236,21
each,231,22
idris,230,23
perdita,230,24
some,228,25
first,225,26
might,221,27
must,220,28
death,218,29
day,215,30
eyes,202,31
said,201,32
made,198,33
own,197,34
long,197,35
last,193,36
other,185,37
like,183,38
whose,176,39
still,175,40
earth,174,41
never,171,42
nature,170,43
any,170,44
among,164,45
many,158,46
ever,156,47
world,151,48
thus,151,49
hope,150,50
night,150,51
upon,149,52
thought,149,53
though,147,54
hand,142,55
mother,140,56
england,139,57
fear,139,58
power,137,59
saw,135,60
part,132,61
mind,129,62
plague,129,63
came,128,64
human,127,65
little,127,66
spirit,127,67
felt,125,68
became,123,69
country,122,70
moment,122,71
shall,121,72
windsor,121,73
found,121,74
come,120,75
very,119,76
voice,119,77
himself,119,78
sea,118,79
lost,116,80
air,116,81
same,116,82
may,115,83
seemed,115,84
towards,115,85
few,113,86
gave,112,87
see,111,88
alone,111,89
entered,110,90
years,110,91
passed,109,92
children,108,93
far,108,94
looked,108,95
change,108,96
dead,107,97
dear,107,98
friend,106,99
without,105,100
left,104,101
light,103,102
days,102,103
sun,102,104
well,102,105
near,101,106
clara,100,107
present,100,108
return,100,109
soon,99,110
soul,99,111
heard,99,112
let,99,113
away,97,114
new,96,115
take,96,116
men,94,117
most,94,118
till,93,119
become,92,120
find,91,121
child,91,122
london,91,123
words,91,124
high,91,125
another,91,126
too,90,127
state,90,128
thoughts,88,129
father,88,130
good,87,131
dark,87,132
sister,86,133
appeared,86,134
half,85,135
back,85,136
went,84,137
old,84,138
place,83,139
feeling,83,140
scene,83,141
name,83,142
poor,83,143
stood,82,144
lord,82,145
die,81,146
whole,81,147
look,81,148
tears,80,149
head,80,150
make,79,151
much,77,152
house,77,153
great,77,154
deep,77,155
misery,77,156
beloved,77,157
cried,76,158
already,75,159
beauty,75,160
lay,75,161
happiness,73,162
form,73,163
brought,73,164
care,72,165
turned,72,166
since,72,167
two,72,168
wild,72,169
o,71,170
wind,70,171
happy,70,172
longer,70,173
feel,69,174
better,69,175
replied,69,176
way,69,177
continued,68,178
length,68,179
cold,68,180
spoke,68,181
city,67,182
sorrow,67,183
hour,67,184
loved,66,185
knew,66,186
hopes,66,187
took,65,188
go,65,189
sat,65,190
died,65,191
evadne,65,192
home,65,193
hands,65,194
small,64,195
within,64,196
countenance,64,197
gone,63,198
times,63,199
evening,63,200
struck,63,201
morning,63,202
land,63,203
full,63,204
leave,63,205
strange,63,206
often,62,207
sight,62,208
know,62,209
remained,62,210
strength,62,211
end,61,212
trees,61,213
pleasure,61,214
called,61,215
young,61,216
idea,61,217
past,60,218
affection,60,219
face,60,220
grief,60,221
open,60,222
friends,59,223
arrived,59,224
also,59,225
youth,59,226
best,59,227
hours,59,228
arms,58,229
round,58,230
town,58,231
forth,58,232
winter,58,233
despair,58,234
fell,58,235
filled,58,236
disease,57,237
less,57,238
together,57,239
delight,57,240
returned,57,241
brow,57,242
greece,56,243
side,56,244
rose,56,245
around,56,246
castle,56,247
abode,56,248
endeavoured,56,249
self,56,250
appearance,55,251
people,55,252
society,55,253
rest,55,254
girl,55,255
gentle,55,256
suddenly,54,257
added,54,258
blood,54,259
early,54,260
say,54,261
ocean,54,262
perhaps,54,263
pain,54,264
native,54,265
live,53,266
taken,53,267
thy,53,268
true,53,269
beneath,53,270
sweet,53,271
health,52,272
beyond,52,273
deserted,52,274
waves,52,275
almost,52,276
joy,52,277
give,52,278
thousand,52,279
set,51,280
late,51,281
sense,51,282
ryland,51,283
future,51,284
god,51,285
sought,51,286
cast,51,287
wonder,51,288
lips,51,289
neither,50,290
wide,50,291
truth,50,292
ill,50,293
forward,50,294
sometimes,50,295
word,50,296
door,50,297
heaven,50,298
summer,49,299
beside,49,300
seek,49,301
things,49,302
danger,49,303
course,49,304
year,49,305
evil,48,306
vast,48,307
led,48,308
feelings,48,309
changed,48,310
painful,48,311
right,48,312
close,48,313
lived,48,314
spot,48,315
farewell,48,316
spread,48,317
grave,47,318
journey,47,319
sky,47,320
received,47,321
thou,47,322
read,47,323
protector,47,324
save,47,325
influence,47,326
melancholy,47,327
sound,47,328
seen,47,329
fate,47,330
waters,47,331
companion,47,332
pestilence,47,333
task,46,334
followed,46,335
however,46,336
possessed,46,337
others,46,338
ground,46,339
person,45,340
think,45,341
companions,45,342
caused,45,343
cannot,45,344
limbs,45,345
object,45,346
former,44,347
fellow,44,348
living,44,349
eye,44,350
met,44,351
behind,44,352
given,44,353
put,44,354
wish,44,355
cottage,44,356
music,44,357
speak,44,358
silence,44,359
nothing,44,360
ambition,43,361
forest,43,362
coming,43,363
hardly,43,364
race,43,365
existence,43,366
walls,43,367
began,43,368
sympathy,43,369
noble,43,370
pride,43,371
brother,43,372
party,42,373
greek,42,374
repose,42,375
presented,42,376
calm,42,377
knowledge,41,378
asked,41,379
kind,41,380
english,41,381
months,41,382
events,41,383
passion,41,384
plan,41,385
grew,41,386
except,41,387
lovely,41,388
mine,41,389
order,41,390
inhabitants,41,391
imagination,41,392
solitude,41,393
desire,41,394
assured,40,395
bent,40,396
indeed,40,397
frame,40,398
courage,40,399
visited,40,400
fair,40,401
absence,40,402
none,40,403
horse,40,404
shewed,40,405
tomb,39,406
resolved,39,407
sole,39,408
vain,39,409
account,39,410
visit,39,411
held,39,412
water,39,413
smile,39,414
fears,39,415
fire,39,416
heavy,39,417
least,38,418
fields,38,419
path,38,420
formed,38,421
numbers,38,422
pale,38,423
interest,38,424
woman,38,425
born,38,426
tenderness,37,427
rank,37,428
placed,37,429
snow,37,430
therefore,37,431
call,37,432
three,37,433
rendered,37,434
act,37,435
tale,37,436
drawn,37,437
told,37,438
forgotten,36,439
enter,36,440
powers,36,441
towns,36,442
various,36,443
short,36,444
age,36,445
lionel,36,446
usual,36,447
lucy,36,448
horror,36,449
flowers,35,450
hearts,35,451
arrival,35,452
family,35,453
fallen,35,454
ruin,35,455
quitted,35,456
necessary,35,457
means,35,458
hair,35,459
expression,35,460
beings,34,461
several,34,462
situation,34,463
silent,34,464
palace,34,465
manner,34,466
re,34,467
road,34,468
turn,34,469
purpose,34,470
mere,34,471
yielded,34,472
rather,34,473
countess,34,474
subject,34,475
closed,34,476
bed,34,477
dying,34,478
rome,34,479
food,34,480
presence,34,481
cause,34,482
boat,34,483
mighty,34,484
progress,33,485
behold,33,486
drew,33,487
spirits,33,488
mortal,33,489
lead,33,490
broken,33,491
watched,33,492
enemy,33,493
work,33,494
immediately,33,495
mountains,33,496
eager,33,497
miserable,33,498
sleep,32,499
along,32,500
occupied,32,501
expectation,32,502
destruction,32,503
event,32,504
reason,32,505
white,32,506
leaves,32,507
distance,32,508
common,32,509
bitter,32,510
crowd,32,511
awoke,32,512
threw,32,513
glory,32,514
hear,32,515
ready,32,516
point,32,517
streets,32,518
honour,32,519
spring,31,520
king,31,521
plans,31,522
room,31,523
daughter,31,524
something,31,525
hung,31,526
ancient,31,527
seized,31,528
fixed,31,529
force,31,530
rain,31,531
burning,31,532
watch,31,533
rushed,31,534
believe,31,535
fall,31,536
shadow,31,537
mountain,31,538
marked,31,539
bring,30,540
cheek,30,541
occasioned,30,542
conduct,30,543
beheld,30,544
soft,30,545
period,30,546
meet,30,547
scenes,30,548
permitted,30,549
angry,30,550
trembling,30,551
soldiers,30,552
joined,30,553
empty,30,554
done,30,555
chapter,30,556
perceived,30,557
reached,30,558
storm,30,559
shore,29,560
spent,29,561
bosom,29,562
tell,29,563
paris,29,564
horses,29,565
assembled,29,566
greater,29,567
command,29,568
sudden,29,569
anxiety,29,570
dearest,29,571
feared,29,572
dwelling,29,573
clouds,29,574
step,29,575
escape,29,576
peace,29,577
intelligence,28,578
sentiment,28,579
hold,28,580
feet,28,581
real,28,582
hard,28,583
fever,28,584
birth,28,585
natural,28,586
aside,28,587
hill,28,588
troop,28,589
secret,28,590
laid,28,591
chief,28,592
circumstance,28,593
rode,28,594
thee,28,595
