word,frequency,rank
all,954,1
very,581,2
one,546,3
she,466,4
will,462,5
like,390,6
omar,375,7
little,359,8
no,355,9
good,332,10
said,332,11
people,321,12
day,305,13
man,285,14
go,285,15
sheykh,278,16
see,267,17
now,264,18
old,263,19
men,259,20
much,254,21
quite,252,22
more,250,23
boat,230,24
only,230,25
great,229,26
some,223,27
two,222,28
poor,210,29
well,202,30
than,193,31
house,191,32
went,189,33
cairo,188,34
english,187,35
say,185,36
god,184,37
el,182,38
think,182,39
came,176,40
yussuf,171,41
gordon,169,42
duff,168,43
take,166,44
told,164,45
must,161,46
other,160,47
better,156,48
come,156,49
arab,156,50
three,155,51
us,154,52
days,153,53
shall,150,54
alexander,149,55
luxor,149,56
most,148,57
know,147,58
never,145,59
pasha,144,60
sir,143,61
last,142,62
any,139,63
too,135,64
get,133,65
should,133,66
boy,132,67
lady,132,68
just,131,69
made,129,70
may,128,71
night,127,72
woman,126,73
mustapha,126,74
many,124,75
dearest,122,76
women,121,77
young,120,78
own,120,79
hear,117,80
mrs,116,81
etc,112,82
course,111,83
time,110,84
sent,106,85
black,105,86
back,105,87
money,104,88
give,102,89
rather,100,90
children,100,91
every,98,92
saw,98,93
asked,98,94
make,96,95
austin,96,96
got,94,97
arabs,94,98
few,93,99
oh,93,100
hand,93,101
alick,92,102
also,91,103
hassan,91,104
work,90,105
left,90,106
nile,88,107
gave,87,108
year,87,109
send,87,110
wife,87,111
new,87,112
pretty,86,113
way,86,114
first,85,115
among,85,116
even,84,117
mother,84,118
egypt,84,119
thee,83,120
tell,83,121
ever,83,122
things,82,123
without,82,124
water,81,125
always,81,126
place,80,127
long,80,128
away,80,129
nothing,80,130
face,79,131
best,79,132
let,78,133
thou,78,134
heard,78,135
home,78,136
wish,77,137
took,77,138
fear,76,139
girl,76,140
father,76,141
going,76,142
life,76,143
achmet,75,144
found,74,145
head,73,146
hope,73,147
till,73,148
river,73,149
write,73,150
slave,73,151
yesterday,72,152
sort,72,153
friend,72,154
eat,72,155
bread,71,156
still,71,157
family,71,158
four,71,159
maurice,71,160
really,70,161
called,70,162
half,70,163
want,70,164
five,70,165
hareem,70,166
look,69,167
next,69,168
thy,68,169
letter,68,170
gone,68,171
seen,67,172
pay,67,173
muslim,66,174
master,66,175
weather,65,176
sat,64,177
enough,64,178
fine,63,179
reis,63,180
though,63,181
mohammed,63,182
beautiful,63,183
feel,63,184
himself,63,185
