word,frequency,rank
one,721,1
all,716,2
river,489,3
no,431,4
said,404,5
now,382,6
time,355,7
will,317,8
two,302,9
t,285,10
man,278,11
some,266,12
new,260,13
other,259,14
she,248,15
water,246,16
got,234,17
boat,234,18
more,231,19
day,224,20
way,217,21
any,204,22
well,202,23
hundred,200,24
upon,197,25
old,196,26
pilot,191,27
get,189,28
good,188,29
than,186,30
every,186,31
never,184,32
went,183,33
see,180,34
years,180,35
night,178,36
like,176,37
know,176,38
go,176,39
back,173,40
head,173,41
away,173,42
come,172,43
long,172,44
very,170,45
only,170,46
three,170,47
made,168,48
little,166,49
just,165,50
first,164,51
mr,160,52
great,159,53
mississippi,157,54
came,157,55
miles,150,56
place,149,57
still,148,58
along,146,59
take,145,60
around,144,61
thing,142,62
always,139,63
ever,139,64
people,138,65
men,136,66
st,135,67
house,133,68
another,130,69
last,130,70
town,130,71
orleans,130,72
say,128,73
five,127,74
captain,127,75
make,125,76
going,124,77
saw,124,78
many,124,79
too,123,80
same,120,81
much,119,82
most,119,83
next,116,84
used,112,85
left,112,86
without,110,87
took,110,88
half,110,89
must,109,90
thousand,108,91
young,107,92
dead,105,93
says,103,94
four,102,95
look,102,96
seen,101,97
tell,100,98
ago,99,99
times,99,100
louis,97,101
days,97,102
right,95,103
told,95,104
put,94,105
us,94,106
course,93,107
nothing,92,108
end,91,109
yes,91,110
began,91,111
feet,90,112
war,89,113
hand,89,114
ten,88,115
pilots,88,116
yet,88,117
life,87,118
island,87,119
twenty,87,120
work,87,121
done,86,122
six,85,123
should,84,124
enough,84,125
dollars,83,126
high,83,127
name,82,128
might,82,129
also,81,130
find,80,131
moment,80,132
himself,78,133
let,78,134
point,78,135
things,78,136
watch,78,137
give,78,138
may,77,139
white,77,140
black,77,141
big,76,142
city,75,143
heard,75,144
thought,73,145
country,73,146
found,73,147
each,73,148
fifty,73,149
even,72,150
didn,72,151
side,72,152
seemed,71,153
run,70,154
steamboat,70,155
world,70,156
bixby,69,157
presently,69,158
pretty,69,159
knew,69,160
ll,68,161
think,68,162
anything,68,163
business,67,164
hands,67,165
talk,67,166
wheel,67,167
till,66,168
matter,66,169
soon,66,170
gave,65,171
chapter,65,172
kind,65,173
better,65,174
far,64,175
ve,64,176
fact,64,177
mind,64,178
sort,64,179
deck,63,180
poor,63,181
year,63,182
sir,63,183
both,62,184
full,62,185
gone,62,186
general,61,187
boy,61,188
trip,61,189
among,61,190
cut,61,191
bank,61,192
since,60,193
shore,60,194
sometimes,60,195
turned,59,196
land,59,197
fell,59,198
stood,59,199
set,59,200
whole,58,201
association,58,202
few,58,203
bar,57,204
together,57,205
called,57,206
thirty,57,207
something,57,208
morning,55,209
near,55,210
keep,55,211
part,55,212
book,55,213
want,55,214
several,54,215
brown,54,216
mile,54,217
fire,53,218
mouth,53,219
own,53,220
deep,52,221
lay,52,222
large,52,223
letter,51,224
boats,51,225
o,51,226
looked,51,227
death,50,228
money,50,229
distance,50,230
best,50,231
eye,50,232
home,50,233
asked,49,234
turn,49,235
often,49,236
state,48,237
banks,48,238
houses,48,239
help,48,240
room,48,241
nearly,48,242
nobody,47,243
steamer,47,244
however,47,245
foot,46,246
low,46,247
eyes,46,248
coming,46,249
ground,45,250
hour,45,251
boys,45,252
reached,45,253
started,45,254
stream,45,255
small,45,256
behind,45,257
middle,45,258
remember,45,259
s,44,260
fine,44,261
bear,44,262
toward,44,263
everybody,44,264
child,44,265
twelve,44,266
rest,43,267
light,43,268
cannot,43,269
sent,43,270
face,43,271
less,43,272
fifteen,43,273
wood,43,274
door,43,275
stand,43,276
whose,42,277
lodge,42,278
kept,42,279
seven,42,280
red,42,281
sure,42,282
wide,41,283
steam,41,284
getting,41,285
heart,41,286
quarter,41,287
everything,40,288
lost,40,289
m,40,290
sight,40,291
beautiful,40,292
sunday,40,293
negro,40,294
region,40,295
person,40,296
body,40,297
memory,40,298
word,40,299
case,39,300
children,39,301
else,39,302
none,39,303
looking,39,304
stage,39,305
ain,39,306
became,39,307
tried,38,308
read,38,309
hours,38,310
months,38,311
pay,38,312
shall,38,313
family,38,314
close,38,315
words,38,316
perhaps,38,317
passed,38,318
later,38,319
except,37,320
de,37,321
crossing,37,322
south,37,323
struck,37,324
use,37,325
eight,37,326
talking,37,327
certain,37,328
minutes,37,329
hear,37,330
oh,37,331
d,37,332
stay,36,333
able,36,334
deal,36,335
worth,36,336
wanted,36,337
current,36,338
almost,36,339
places,36,340
dark,36,341
finally,35,342
chief,35,343
paul,35,344
couple,35,345
nine,35,346
shape,35,347
killed,35,348
air,35,349
fast,35,350
present,35,351
strong,35,352
month,35,353
within,35,354
standing,35,355
order,35,356
felt,35,357
effect,34,358
per,34,359
friend,34,360
